c.katana,c.dogalize,c.android.youtube,c.android.chrome,c.android.gm,c.raider,c.UCMobile.x86,c.updateassist,c.UCMobile.intl,c.android.vending,p.system,p.android.gm,p.android.settings,p.android.chrome,p.android.packageinstaller,p.android.documentsui,p.android.externalstorage,p.android.vending,p.olauncher,p.android.defcontainer,p.dogalize,p.browser.provider,p.notifier,p.gms.persistent,p.inputmethod.latin,p.katana,p.google,p.process.gapps,p.android.gms,p.simulator
16.39456,11.17537,10.0983,10.32399,12.94734,55.85658,37.42771,48.9636,99.09322,34.57237,12.77515,11.57255,10.08163,10.25655,12.39143,9.79669,9.8538,42.56332,0.03498,59.50891,31.35588,38.86684,99.10644,72.55562,24.99287,12.09568,55.83053,5.17498,55.24193,32.71962
6.98114,11.87731,8.04103,10.91461,11.53571,52.88902,0.91664,24.12121,33.71017,46.90813,4.80618,7.35488,8.13024,13.26369,13.86734,9.64739,10.26638,70.58455,0.00072,52.75776,40.25948,27.96151,52.44337,78.89196,58.87742,13.03564,7.19667,11.43727,45.1245,93.45071
6.47318,12.38734,8.21795,9.18089,10.68049,49.56198,13.80487,73.1895,89.52511,98.62766,9.44525,9.72056,8.38475,15.11815,11.72901,8.81343,9.06839,58.31347,0.00555,69.17688,73.16362,51.38961,14.48936,21.26594,32.15598,75.65395,75.35744,7.64283,7.89417,89.85625
11.81169,8.29817,10.27478,13.14753,9.58432,26.49713,89.93701,40.28751,19.16117,64.15834,11.10106,7.60561,10.39495,8.08517,11.261,12.51429,10.25851,64.73687,0.00091,78.88112,40.96831,33.07138,79.01106,51.05071,93.80664,47.77769,44.157,46.06468,43.2601,39.92781
11.08859,13.45415,7.85136,5.01271,9.95134,47.26101,58.63212,26.15758,2.08498,29.97507,11.34301,8.76858,7.08769,15.26803,13.07007,9.02253,10.67989,40.90119,0.00274,89.62505,74.51812,45.52666,85.19019,8.21109,80.49922,42.5605,72.8117,65.13367,19.23962,88.62888
5.45462,10.12727,6.36512,9.06916,10.90429,71.88124,61.96656,65.83735,84.63565,77.95332,6.51534,6.10829,5.34994,15.48779,14.53716,6.39578,10.94207,42.12818,0.00041,45.59878,54.34973,32.46761,16.66777,71.32976,59.25977,65.91122,12.96679,13.17488,66.25044,21.21581
8.93654,12.27901,11.60863,7.04449,13.72786,35.64612,36.69089,67.59008,3.24027,3.1582,10.0344,5.2122,6.61304,10.10792,8.10223,9.67475,11.41251,64.66607,0.0003,54.76359,41.17903,35.94288,14.7508,62.27045,6.27927,17.54554,22.70309,24.14639,48.09134,25.88312
17.53911,10.31273,4.9623,10.97027,12.15392,38.64939,96.52145,6.04252,38.98176,28.08276,13.4052,14.31676,7.00312,11.56841,15.59074,10.29715,3.407,39.97087,0.53613,43.9019,52.46595,56.25933,35.53409,30.49708,59.12728,83.20106,71.15514,17.23318,55.81005,74.78213
11.20505,12.90527,13.76713,12.22253,9.78246,46.35272,7.20667,86.27806,82.61018,96.79734,7.15014,10.18756,12.53905,8.15127,10.70611,9.98423,8.86549,40.29889,0.00885,69.81663,39.18698,62.5067,56.86144,80.80762,92.01746,34.82993,1.52579,49.25961,7.4098,44.99917
14.32159,9.37717,13.40449,11.56907,8.9116,49.98175,71.60885,94.00762,75.77298,86.4315,15.41524,7.55628,10.51774,7.45452,11.31575,11.24829,9.13711,41.92336,0.00094,84.86652,67.24495,37.11998,1.00237,61.398,17.9433,85.6791,64.78071,41.72601,91.67758,8.67397
13.70567,6.81513,9.45131,4.89387,14.83069,49.6625,30.80944,11.64196,36.74962,49.66496,8.27297,8.74183,9.43394,4.53514,10.92772,8.01182,10.0255,64.18488,0.00266,55.17142,40.93878,55.31872,23.42413,30.75942,44.74226,13.9463,13.13735,6.72856,39.1343,81.78876
12.06265,12.60968,12.78721,15.94654,17.08245,49.79877,63.65888,19.32496,20.42488,42.92962,6.02919,9.02762,10.95581,6.85835,12.90188,12.48353,11.51509,62.0798,0.00314,51.89294,61.83801,61.8946,15.22966,55.85651,34.16302,12.35355,2.25099,57.78229,19.43793,86.18271
14.17379,8.24446,14.20033,11.36764,10.09576,43.82749,96.19106,18.715,45.16869,60.1825,13.54345,7.97564,8.84313,8.69468,12.45757,10.79297,8.5066,55.17611,0.00141,61.88055,34.65602,74.44686,12.85779,75.44653,11.91379,31.79958,35.47848,81.34615,93.78283,53.22971
11.78774,10.96534,11.40186,13.89859,10.30992,51.05654,25.82403,97.97792,61.13812,25.47251,9.59015,9.54854,9.13149,7.49355,11.11132,14.22546,12.61982,40.92309,0.00493,59.38278,44.69038,30.14479,76.54907,5.25954,78.75085,5.15654,94.1504,93.6785,57.66821,41.99047
13.46003,10.46641,11.18172,6.44564,10.13294,23.14173,30.81451,19.13533,35.7347,67.16099,10.3027,10.0806,9.37436,6.56094,12.80716,11.19456,9.19453,33.80244,0.00818,66.47095,58.60811,49.35768,5.81797,69.80916,75.61181,90.22968,51.65247,50.90736,99.50332,36.56885
12.4754,7.44182,9.14057,12.60417,3.79446,71.42153,14.02532,40.81991,60.09715,7.46411,10.47303,9.29252,5.99892,5.55031,11.99301,10.6453,9.78581,62.63748,0.00372,47.6632,53.2751,49.96078,75.40892,65.3316,75.88473,65.5882,21.07089,8.94544,23.86444,43.41268
7.00748,11.75017,7.58333,9.53684,13.1099,24.81834,82.73715,47.76478,76.36189,88.33102,9.54314,8.58484,10.09809,14.33728,13.22935,6.66094,11.05489,52.20671,0.00224,50.20979,72.25657,45.33346,49.60841,38.2516,2.96508,67.03415,75.16736,56.58256,61.47245,75.35502
10.74681,7.3272,12.23946,9.5657,10.43738,51.08788,27.01958,51.38194,79.55344,74.15731,12.23453,9.78002,8.0321,11.33901,13.49157,10.5943,10.54656,35.56106,0.00618,57.59492,48.65571,46.47512,56.77708,56.65727,17.369,43.64538,97.22214,31.96715,19.10847,98.36318
11.90209,12.43962,13.9829,11.55209,12.65554,53.08111,57.55025,93.74146,63.75262,87.33563,10.12299,7.88311,15.82848,6.85333,11.69473,8.53153,7.38712,46.40939,0.00145,42.44069,52.34161,67.66245,62.47683,2.40307,70.746,1.5546,75.62616,45.8107,83.80913,57.1389
10.01177,12.54333,13.98174,10.04743,10.21919,46.735,47.363,90.26759,7.77413,12.33713,7.79047,11.26306,14.34639,8.71311,9.66592,8.25734,7.12714,63.21785,0.02569,61.25328,33.70568,33.14139,59.89979,57.79734,82.23424,42.59985,71.64659,37.28688,79.81064,23.2435
11.62716,11.73108,11.24652,12.59097,11.66044,17.29715,35.86468,16.82238,19.23138,72.90849,6.74037,7.17329,10.65518,6.89204,12.59656,8.9608,10.26176,49.72401,0.00081,50.53567,74.45448,37.76839,32.27816,44.55535,93.24048,79.41878,3.86695,77.33712,75.26363,81.45468
14.26715,12.28929,3.67115,11.51325,12.40304,37.6673,49.8928,68.71312,50.43255,60.22762,11.70648,14.10401,9.08724,10.50619,12.05433,10.15419,7.5873,17.05931,0.43329,56.41903,45.58845,28.45703,79.8857,57.71951,68.51006,46.63628,95.41571,58.42095,41.20506,96.73473
7.14579,11.54366,7.37998,8.08909,14.22049,44.43198,60.90497,7.80383,62.20479,44.32261,8.09313,6.98487,9.70501,11.77194,10.67877,7.43657,10.82947,25.34418,0.00073,53.92641,67.27429,67.71193,94.52042,79.4009,3.34409,0.8055,34.92898,28.72017,46.20884,39.62047
11.24869,8.05257,11.68204,9.53292,9.99748,56.19755,49.70145,89.98301,34.86607,84.65449,11.2475,12.04708,7.07601,8.20793,9.81927,13.68759,8.63403,51.94612,0.05612,53.15242,65.43608,63.50829,60.69659,67.00126,1.07865,15.06311,71.13735,2.2499,57.3345,87.15374
9.31031,16.60554,4.10536,9.80315,8.12717,50.82171,92.73522,73.50552,56.93225,71.8912,8.41135,14.94323,5.2887,14.20646,11.18918,14.87619,9.9684,50.1501,1.00259,27.16003,41.19556,33.42171,71.88112,72.88927,15.68266,32.39048,36.35145,70.91052,59.39285,86.51939
12.31212,13.65979,16.72539,17.5047,12.40761,53.246,17.44515,8.05265,52.68873,0.94944,7.98556,6.45815,17.16843,7.68679,10.5885,9.51668,9.15411,67.62407,0.00069,58.00337,47.96241,59.76759,22.60465,0.07395,1.2924,58.60168,23.2291,13.06206,28.50061,34.13527
8.68062,12.14906,8.92279,8.82531,11.65816,34.8312,68.71047,62.67869,94.94,45.43954,6.19578,7.74926,7.26079,10.25737,11.83675,8.409,13.86105,70.75824,0.00116,54.83189,26.19196,47.96209,31.36733,75.96043,94.53076,16.45477,77.63538,89.10848,57.40472,68.58682
12.35561,12.69726,8.87335,2.68709,12.38909,59.34598,61.70898,49.54224,38.09704,83.73625,11.67882,6.21359,8.09746,12.43561,10.7007,8.57101,10.98823,45.15004,0.00049,50.62035,58.56709,46.05445,40.1152,81.1183,56.77808,66.66935,0.39278,14.44734,89.31126,79.48165
8.57624,10.9781,7.54888,8.73766,12.14056,47.36272,49.05759,0.64411,20.99274,80.12479,8.17415,9.03545,8.64312,11.24364,13.12948,8.4362,11.55768,49.4268,0.00298,30.55925,72.96948,33.76723,60.97086,94.0361,15.16393,34.10023,14.37974,44.57493,85.37648,24.72564
9.3325,11.61151,8.26516,7.77829,12.75103,43.89449,61.30207,35.86071,2.82639,84.01376,10.80007,8.35757,9.08943,13.41917,14.13963,4.92918,12.84914,46.5571,0.00177,46.83925,66.12392,58.64822,62.22401,67.72272,56.63285,36.27741,85.73194,60.77519,58.02381,61.27755
12.82865,13.42618,11.60572,11.29437,11.00007,46.66927,34.7823,57.12447,38.19571,54.65382,5.9732,7.6627,12.20584,7.15157,12.23756,7.8724,8.3803,54.64987,0.00119,54.66407,57.56066,54.12212,97.47429,68.11811,14.28708,31.03528,94.29369,95.06743,83.00049,87.14148
10.64573,10.17181,11.23017,10.14736,11.20859,93.46359,95.75352,87.7573,75.1108,25.76208,5.86342,7.61148,12.09535,10.25808,12.43811,5.33445,6.89791,50.28825,0.0011,75.81559,29.80787,37.87444,47.2401,61.48401,28.27857,61.16593,29.48149,57.7526,29.47302,92.66409
8.50526,12.15945,9.93046,8.74671,12.4758,68.02813,71.68298,33.78711,15.93886,5.10047,10.00274,7.93529,9.06503,13.53054,12.71305,7.23701,11.3306,61.87551,0.00127,67.84719,58.02626,47.53306,64.29164,98.56018,97.1606,24.97241,39.90972,65.62194,38.5194,78.9171
11.05901,12.41424,7.73528,14.05876,11.10299,53.12633,76.05826,20.54553,29.95356,67.43479,11.90334,13.55234,5.55771,6.52252,10.0043,13.15921,9.69202,33.48216,0.2497,38.18932,48.98349,46.15303,96.63906,79.94348,89.35558,50.2455,97.17762,93.68317,29.49841,4.32344
12.19348,11.99416,10.25031,14.96799,12.31935,25.27573,14.81872,23.3874,1.64022,64.02088,6.33289,5.77714,9.37086,10.18197,10.06796,6.66169,8.62813,49.24431,0.00101,68.01915,76.57591,49.0048,44.83749,28.25171,63.19676,79.39212,98.71065,5.60613,50.55115,71.76447
10.38534,9.46532,13.27646,7.82071,14.7304,53.26063,48.24887,92.51921,30.51381,94.99056,9.76895,7.92704,7.87368,6.90728,9.4194,10.86761,10.924,75.36394,0.0014,40.96335,48.66976,58.90606,37.78407,25.1627,91.40811,43.48097,14.73269,88.74364,41.71859,10.56648
11.85326,13.67673,12.2866,11.91691,11.05113,55.98599,75.36131,16.5273,97.11498,33.59001,9.05627,10.68832,10.76198,9.09623,9.92707,9.63194,7.71531,47.16974,0.01474,49.50332,63.05703,48.54891,10.04814,65.18002,69.62145,86.81491,74.21222,19.48688,67.35458,20.23795
10.53389,7.53488,12.13631,4.49649,9.15001,43.46623,83.30732,35.28503,21.92094,81.45173,12.60177,12.21085,12.56516,8.52878,9.84378,15.56213,10.61273,58.65396,0.06581,49.84034,49.74948,52.09992,98.23346,79.23859,55.11926,3.08239,93.79344,4.80444,4.05648,62.35947
12.30344,13.47707,10.55529,13.66829,12.60675,45.05582,17.07207,84.64544,92.23081,18.87618,10.37321,5.6417,10.3034,6.16349,9.53817,8.22459,8.59324,40.93187,0.00056,58.17723,70.25794,61.70202,79.55033,28.79469,44.4734,87.34999,7.94349,67.4883,28.87326,73.50106
14.08648,12.33863,10.53602,8.70434,14.81657,40.44881,15.8178,51.45703,78.77056,19.06795,10.51197,14.35386,9.26065,5.63237,9.4349,9.64979,9.44304,47.51272,0.55626,62.04208,60.28712,53.07814,52.74284,22.9701,28.37324,41.11247,3.66206,96.96387,29.49169,70.92911
11.03423,5.98951,14.24714,12.80216,5.07907,66.87766,17.66674,94.38844,23.04276,52.14704,14.27644,8.72379,7.16439,7.46146,10.49686,13.24933,13.42657,60.42044,0.00226,71.15422,62.25115,49.84727,58.12554,92.31356,14.33455,96.51726,81.68974,60.53631,17.88019,91.11134
10.956,7.94981,15.17095,6.81941,12.26289,35.1222,38.22201,82.901,71.95222,15.96751,13.83061,12.39314,10.41073,7.95227,12.43609,13.41388,9.84472,61.59126,0.07866,61.0018,46.06639,68.41182,22.03323,2.5612,76.2073,47.34239,56.27334,49.55718,57.3329,52.75481
10.476,9.46141,10.67168,12.24775,10.03378,51.86457,90.55007,98.6075,15.09875,64.78018,8.30386,8.10777,10.01912,12.40153,11.77148,5.44918,7.70707,37.7123,0.00143,55.88837,39.7848,59.97963,71.954,69.77471,85.13447,98.58901,88.87257,10.40484,71.5147,36.76697
12.65802,7.92767,10.54931,14.72599,18.53781,50.66913,93.57653,32.95145,49.31953,3.70078,6.65518,11.6759,9.66909,11.94488,11.13106,10.31859,9.64256,69.17234,0.03861,52.75116,65.61637,52.17611,24.87034,64.0973,66.52013,24.38538,7.43385,23.59588,51.63812,3.84102
7.07202,12.15053,8.62324,8.91096,11.58803,32.52489,19.38318,47.56005,88.05508,94.48186,8.68717,11.06561,8.1797,10.57568,8.6125,7.87972,13.32692,49.15236,0.02123,32.85607,45.38644,49.81188,63.84102,29.10854,43.01178,89.27396,31.30743,20.20558,78.84865,77.36025
10.46713,7.73519,16.91869,6.64272,11.8221,41.86328,55.07996,90.46663,40.69107,82.49958,14.83952,12.56791,10.62093,7.2171,15.50932,11.69875,10.66172,39.21867,0.09381,58.84422,49.03355,38.88125,82.91208,73.07194,2.47301,89.99981,43.2043,97.34707,73.16939,67.73512
9.4685,15.7406,8.33675,10.54464,12.13358,48.13626,1.2881,89.14299,56.62739,34.83824,9.14802,10.9944,7.45533,10.63533,11.0849,7.87786,12.95576,6.23215,0.01966,53.47438,59.8831,62.48481,58.4214,62.79542,49.05772,94.95555,66.15789,22.30824,64.1788,86.6222
10.81513,9.3568,11.66015,6.59718,6.52764,66.95961,9.86538,83.6583,30.74535,39.97911,15.23931,13.42528,11.62735,8.61721,14.48432,15.42654,9.99705,56.47538,0.21987,56.54131,63.3185,48.40611,93.92185,48.51062,35.9228,16.97198,36.75092,92.09531,51.77054,82.50994
12.01289,14.05934,12.93814,11.09073,14.01262,54.32132,22.95776,14.95632,80.37067,79.36199,8.29556,9.16416,13.39571,6.34427,11.69769,9.56874,7.62749,49.59695,0.00374,72.14109,23.79246,54.66582,91.56654,35.19409,90.08002,83.37456,63.05255,69.93863,80.20984,44.01116
13.21172,14.57515,14.63031,12.16499,11.83977,65.79561,38.62451,51.85458,91.326,88.29488,10.97605,9.22522,15.76553,8.64153,13.72718,8.80552,7.20074,70.31678,0.00357,37.05356,41.8034,49.12631,75.85862,23.52174,81.92172,26.07387,96.54933,16.34882,96.90112,12.67201
13.01983,7.87804,9.0667,13.33613,6.65671,48.86356,71.07477,76.82111,61.16899,56.5544,12.49151,6.95348,12.41026,9.18603,14.08472,11.28167,9.1957,42.57887,0.00081,56.39636,74.95454,35.41193,39.23418,7.7688,25.84445,68.64784,54.30632,9.13319,51.91532,69.22792
13.76234,7.15796,10.98333,8.94487,9.03091,64.42148,54.93627,29.92457,97.71237,36.49706,9.11343,11.72567,7.32115,9.53948,13.03029,8.93574,10.20056,39.04981,0.04059,48.66895,30.65837,47.86935,68.41541,25.05357,57.64162,27.96719,23.83803,9.606,5.34861,28.89003
12.23467,15.17517,13.27407,14.18676,13.40783,64.52959,0.5395,33.24449,42.24587,26.9045,5.26729,8.42593,13.38442,6.85832,6.69446,9.15412,7.55779,52.9715,0.00185,72.45184,51.70951,42.67487,29.5374,34.14723,61.03471,9.8191,46.27895,14.55437,71.02719,47.97802
14.95813,8.0301,8.87954,8.16518,13.64553,49.39544,49.53229,66.08679,30.20816,80.16136,10.07018,11.10312,6.70271,9.99548,13.14048,9.26005,4.43428,46.35582,0.02179,62.74527,48.16619,60.83548,15.32388,8.71203,96.14582,39.59401,54.1336,24.01617,70.54419,28.76587
13.35852,13.60788,9.85023,12.22883,13.39145,47.82574,5.18088,54.16415,7.50539,44.23933,8.77379,7.86883,9.26912,10.82998,7.59338,6.56755,5.73692,30.7418,0.00161,65.55181,71.07227,62.45375,2.59478,67.18006,45.00752,3.66539,98.36529,53.46964,11.18563,72.66439
14.97907,9.90348,14.10595,12.37123,11.87764,52.69458,29.63188,12.97744,72.59143,3.53928,12.67749,6.24493,9.77001,10.01449,12.41758,10.04261,11.80814,54.27565,0.00083,57.96221,54.51765,30.74928,44.90139,36.57118,41.10879,91.74883,36.03064,49.38328,63.62566,72.44618
11.38711,9.93466,12.91447,13.21505,8.60512,56.3324,86.97485,53.2746,56.54833,30.21911,9.79015,8.23185,8.81911,6.82716,10.43868,13.81748,14.97725,48.63255,0.00169,50.34279,23.48174,26.28408,88.7681,97.61378,84.30543,88.13173,17.89724,72.959,28.68694,5.44867
9.05321,11.31358,8.35104,6.73261,11.65808,40.30783,78.46198,23.80547,93.48875,44.135,6.63393,6.38753,6.36501,10.84941,11.42291,8.22182,12.90716,54.35798,0.0007,41.26046,47.46684,58.46192,41.46109,45.39833,75.06329,19.83619,46.47065,11.0203,60.44037,47.82343
10.7527,13.98677,8.95048,8.77932,11.05206,65.34513,47.28688,7.77007,12.38373,31.7299,10.49233,10.07717,8.76598,14.23662,13.54781,10.3516,9.35186,77.79082,0.00818,60.63765,60.47423,52.87777,22.77086,50.45585,44.50728,32.10859,14.8708,78.16933,79.17738,76.22591
11.14912,14.72376,14.60358,10.86394,11.55914,67.67545,54.12976,73.74017,16.44396,91.45199,12.27902,11.12231,14.28343,7.34132,15.42307,10.24117,9.27327,68.74853,0.02253,53.64468,32.07955,58.37727,85.56732,14.44114,52.16851,20.57591,10.47331,6.07726,3.81682,79.84734
13.46657,7.73629,8.99305,11.71181,14.35115,58.60172,35.9205,98.57215,83.15685,4.66615,5.51927,9.00445,8.92987,12.85642,14.07995,6.93457,8.73619,67.03364,0.003,34.50613,49.85176,48.2821,77.4339,93.48889,55.37114,92.73975,50.10673,96.30238,7.6815,2.72883
12.50305,11.2588,12.86332,10.48581,13.4699,43.64084,70.03693,49.54192,4.57472,79.00835,8.67153,10.70087,14.12191,6.79275,14.20333,10.50956,9.44863,22.00174,0.01484,58.06287,45.78273,32.41734,12.58515,25.06553,47.32978,44.078,94.06198,68.91664,56.43122,93.14959
13.04731,14.03862,8.71031,9.51205,12.1504,31.02134,9.3307,60.23546,40.1082,36.42142,13.19986,13.36312,9.10255,5.66741,7.34143,14.5916,9.72336,45.62184,0.20667,65.16506,59.63451,48.86876,28.06607,14.12564,53.0345,96.12898,99.92744,58.5026,5.20583,6.27627
11.14858,12.41665,9.89264,12.46075,13.86127,53.95463,50.11589,2.17064,23.36052,70.20284,7.4154,9.73529,10.00185,8.52473,12.40426,16.12936,13.5867,41.20539,0.0058,35.58279,50.21087,43.59822,42.01046,59.73001,67.16731,41.09232,67.7526,99.14507,13.57338,52.99308
11.59356,13.67379,12.11416,10.87857,13.29598,41.43744,92.30855,18.87768,98.43955,39.01415,8.15261,8.4476,12.85476,7.28025,12.34428,8.20328,8.01242,50.61412,0.00195,55.00078,53.10854,43.52246,91.0997,48.16603,41.54863,55.5063,69.51374,27.58709,85.96718,25.74126
7.52713,12.7297,6.17061,9.49689,10.60598,27.36632,8.09622,96.09959,4.46537,84.20748,8.92018,9.53077,7.36389,17.02386,14.26886,9.02677,10.08058,62.28645,0.00493,44.79175,54.35639,63.68157,35.01626,53.16274,28.25984,92.77666,82.31835,34.30709,28.09719,7.85866
7.58737,7.18942,11.39605,11.78719,6.44867,45.20912,76.81688,64.48622,30.70395,19.78992,8.49816,9.36657,5.47514,7.91147,12.65789,14.39047,15.59538,51.38515,0.00408,65.46171,44.85034,35.94696,16.24786,59.77739,53.39039,88.32244,33.69461,0.2765,33.09167,16.79689
13.80401,8.0434,10.82817,10.61949,13.67918,45.70012,0.9884,49.76619,75.2249,44.99839,9.55608,11.1137,11.9527,9.98022,14.02137,8.98594,9.0088,80.06392,0.02235,67.27873,31.8165,46.60288,37.13829,60.40285,42.08003,48.98714,7.78489,7.61987,72.93745,98.42432
14.38798,14.71833,12.56997,11.20076,11.26806,50.29135,76.73476,68.87552,5.16248,57.82585,9.01877,7.93123,13.98531,8.99543,11.63036,6.58129,6.00797,55.40147,0.00116,57.66806,34.72338,55.49652,82.03792,2.49104,6.78066,55.12998,7.43037,42.12474,58.16567,74.35596
12.04807,11.88885,12.75088,10.08112,9.60073,62.27478,87.09472,53.0828,28.905,16.96856,5.66686,10.87513,12.31364,7.52424,14.04596,9.80304,9.79344,64.52002,0.01758,52.29058,46.2358,43.40096,36.94916,44.67054,65.11578,88.96821,70.89798,76.00426,53.83018,28.5524
14.85995,10.29531,12.6802,11.78119,10.42937,25.28342,24.32966,32.10766,1.50412,73.52116,11.13153,9.59445,9.01157,7.74048,10.76031,11.67265,13.21214,49.71702,0.00502,60.5949,44.24332,63.35142,65.6828,36.43808,17.60246,84.20594,75.2798,38.6583,58.78141,57.95065
11.92896,11.60834,14.78001,12.57532,9.7866,40.65367,96.53078,2.11453,71.68979,9.40475,11.04057,7.21329,8.63614,6.13878,8.70632,12.44521,15.22659,44.43121,0.00099,69.3564,33.45168,57.20994,32.13798,90.89166,83.68952,6.91585,79.47784,95.95053,54.3848,22.82261
12.03001,6.96644,10.35481,6.62465,11.11551,75.95217,33.3017,24.25806,78.7312,71.85763,10.09518,12.8813,10.34974,11.52364,13.13112,11.21245,6.91077,43.14692,0.12793,54.20936,64.31272,71.8528,80.3818,81.23722,60.67472,71.38725,80.65919,5.57142,6.56487,69.00344
11.12267,14.0576,10.28367,5.53961,11.62378,46.10529,48.92691,94.26724,13.24629,81.30795,12.52746,10.11808,8.5579,10.76634,9.60807,8.34014,14.07728,59.94672,0.00832,59.25632,55.73327,45.01924,69.25246,12.42451,4.91038,75.90796,55.00501,35.90838,36.52893,28.59476
11.79354,10.51052,13.00005,9.79865,10.35589,52.38171,33.24458,94.28841,52.62626,30.63347,8.64423,10.61387,13.71091,9.62701,12.93034,8.03279,7.9799,53.69138,0.01378,52.61693,49.72504,60.60223,7.80098,29.27296,84.20352,52.39371,60.39988,4.82485,76.21514,17.72439
8.08639,13.50337,6.27786,7.99571,10.94225,47.933,33.75687,71.77201,47.67445,15.69553,9.23302,10.859,8.58399,13.72063,10.60276,11.12951,11.19232,73.14076,0.01727,52.84125,50.08312,37.98643,52.18861,80.29045,5.03553,27.18854,87.74012,13.93842,26.78802,75.22194
6.88867,13.05353,7.81769,9.1996,12.62534,39.42659,39.24101,99.51872,36.47345,14.8528,9.00677,9.22155,7.26336,11.81627,8.84171,6.9627,10.88323,45.18646,0.00392,87.2085,44.10481,45.99783,9.12069,74.03734,1.15676,78.65026,84.04736,44.31237,88.72271,27.97142
